OID_,Join_Count,TARGET_FID,Unique_ID,Lat,Long,Date,Site_name,Date_1,Sex,L_HW_mm,L_FW_mm,Total_Length_mm,Metathoracic_Femur_Length_mm,F___12,Metathoracic_Femur_Length_mm_1,OBJECTID_1,HUC_8,HUC_10,HUC_12,ACRES,NCONTRB_A,HU_10_GNIS,HU_12_GNIS,HU_10_NAME,HU_10_MOD,HU_10_TYPE,HU_12_DS,HU_12_NAME,HU_12_MOD,HU_12_TYPE,META_ID,STATES,GlobalID,SHAPE_Leng,GAZ_ID
1,1,1,F-116,30.583428999999999,-84.880913000000007,26061,FL: Gadsden Co.,Crooked Creek at Hwy S-270,male,28.45,27.94,44.350000000000001,7.12,NA,,230441,03130011,0313001102,031300110203,17935.344548500001110,0.000000000000000, , ,Apalachicola River-Spring Branch,NM,S,031300110201,Lower Flat Creek-Apalachicola River,NM,S,FL01,FL,{9817EAB9-7729-46ED-B48E-72CD3BD88453},0.481553649742000,-449463
2,1,2,F-17,30.583428999999999,-84.880913000000007,26405,FL: Gadsden Co.,Crooked Creek; Hwy 12,male,26.07,27.38,43.219999999999999,8.63,NA,,230441,03130011,0313001102,031300110203,17935.344548500001110,0.000000000000000, , ,Apalachicola River-Spring Branch,NM,S,031300110201,Lower Flat Creek-Apalachicola River,NM,S,FL01,FL,{9817EAB9-7729-46ED-B48E-72CD3BD88453},0.481553649742000,-449463
3,1,3,F-18,30.583428999999999,-84.880913000000007,26405,FL: Gadsden Co.,Crooked Creek; Hwy 12,male,25.02,27.13,43.320000000000000,8.24,NA,,230441,03130011,0313001102,031300110203,17935.344548500001110,0.000000000000000, , ,Apalachicola River-Spring Branch,NM,S,031300110201,Lower Flat Creek-Apalachicola River,NM,S,FL01,FL,{9817EAB9-7729-46ED-B48E-72CD3BD88453},0.481553649742000,-449463
4,1,4,F-05,30.486170000000001,-87.246015000000000,26726,FL: Escambia Co.,Pensacola,male,24,24.7,40.149999999999999,6.57,NA,,173361,03140105,0314010504,031401050401,25754.409760999998980,0.000000000000000, , ,Bayou Texar-Bayou Garcon Frontal,NM,F,031401050500,Graveyard Branch-Bayou Texar Frontal,NM,F,FL01,FL,{6B3E1296-CA38-4EC6-A28B-4536D0B24F97},0.582325547881000,-447991
5,1,5,F-102,30.790854000000000,-86.792668000000006,26743,FL: Santa Rosa Co.,Middle Creek near Holt Fish Hatchery; (nymph collected 3-15-73),male,23.37,24.64,39.859999999999999,6.69,NA,,174664,03140104,0314010402,031401040203,23052.565763899998274,0.000000000000000, , ,Blackwater River,NM,S,031401040204,Beaver Creek,NM,S,AL08,FL,{1D6645DB-C9DE-4C08-ACC5-A2055621DCD4},0.535525934021000,-448523
6,1,6,F-22,30.786565000000000,-86.797668999999999,26746,FL: Santa Rosa Co.,Blackwater River SF: Lighter Knot Creek,male,22.43,24.71,39.070000000000000,6.33,NA,,174664,03140104,0314010402,031401040203,23052.565763899998274,0.000000000000000, , ,Blackwater River,NM,S,031401040204,Beaver Creek,NM,S,AL08,FL,{1D6645DB-C9DE-4C08-ACC5-A2055621DCD4},0.535525934021000,-448523
7,1,7,F-23,30.790854000000000,-86.792668000000006,26761,FL: Santa Rosa Co.,Blackwater River SF: Middle Creek,male,22.03,24.67,39.189999999999998,7.52,NA,,174664,03140104,0314010402,031401040203,23052.565763899998274,0.000000000000000, , ,Blackwater River,NM,S,031401040204,Beaver Creek,NM,S,AL08,FL,{1D6645DB-C9DE-4C08-ACC5-A2055621DCD4},0.535525934021000,-448523
8,1,8,F-69,30.790854000000000,-86.792668000000006,26766,FL: Santa Rosa Co.,Middle Creek: Blackwater River SF; (nymph collected 3/16/73),female,25.04,27.14,40.130000000000003,7.02,NA,,174664,03140104,0314010402,031401040203,23052.565763899998274,0.000000000000000, , ,Blackwater River,NM,S,031401040204,Beaver Creek,NM,S,AL08,FL,{1D6645DB-C9DE-4C08-ACC5-A2055621DCD4},0.535525934021000,-448523
9,1,9,F-70,30.790854000000000,-86.792668000000006,26766,FL: Santa Rosa Co.,Middle Creek: Blackwater River SF; (nymph collected 3/16/73),female,23.2,25.82,40.520000000000003,7.91,NA,,174664,03140104,0314010402,031401040203,23052.565763899998274,0.000000000000000, , ,Blackwater River,NM,S,031401040204,Beaver Creek,NM,S,AL08,FL,{1D6645DB-C9DE-4C08-ACC5-A2055621DCD4},0.535525934021000,-448523
10,1,10,F-21,30.790854000000000,-86.792668000000006,26769,FL: Santa Rosa Co.,Blackwater River SF: Middle Creek,male,23.86,25.69,37.530000000000001,8.66,NA,,174664,03140104,0314010402,031401040203,23052.565763899998274,0.000000000000000, , ,Blackwater River,NM,S,031401040204,Beaver Creek,NM,S,AL08,FL,{1D6645DB-C9DE-4C08-ACC5-A2055621DCD4},0.535525934021000,-448523
11,1,11,F-06,30.680869000000001,-87.131867999999997,26800,FL: Santa Rosa Co.,Pond Creek at S-191 NW of Milton,male,23.81,25.49,41.850000000000001,6.88,NA,,174646,03140104,0314010405,031401040502,30968.872870100000000,0.000000000000000, , ,Pond Creek-Blackwater River,NM,S,031401040503,Lower Pond Creek-Blackwater River,NM,S,AL08,FL,{37A931C2-96A6-4BC2-8852-5912BC637E7B},0.669883121917000,-448505
12,1,12,F-103,30.680869000000001,-87.131867999999997,26800,FL: Santa Rosa Co.,Pond Creek at S-191 NW of Milton,male,24.8,26.05,40.280000000000001,6.38,NA,,174646,03140104,0314010405,031401040502,30968.872870100000000,0.000000000000000, , ,Pond Creek-Blackwater River,NM,S,031401040503,Lower Pond Creek-Blackwater River,NM,S,AL08,FL,{37A931C2-96A6-4BC2-8852-5912BC637E7B},0.669883121917000,-448505
13,1,13,F-104,30.680869000000001,-87.131867999999997,26800,FL: Santa Rosa Co.,Pond Creek at S-191 NW of Milton,male,23.15,24.83,40.320000000000000,6.53,NA,,174646,03140104,0314010405,031401040502,30968.872870100000000,0.000000000000000, , ,Pond Creek-Blackwater River,NM,S,031401040503,Lower Pond Creek-Blackwater River,NM,S,AL08,FL,{37A931C2-96A6-4BC2-8852-5912BC637E7B},0.669883121917000,-448505
14,1,14,F-106,30.680869000000001,-87.131867999999997,26800,FL: Santa Rosa Co.,Pond Creek at S-191 NW of Milton,male,24.18,25.17,41.100000000000001,6.59,NA,,174646,03140104,0314010405,031401040502,30968.872870100000000,0.000000000000000, , ,Pond Creek-Blackwater River,NM,S,031401040503,Lower Pond Creek-Blackwater River,NM,S,AL08,FL,{37A931C2-96A6-4BC2-8852-5912BC637E7B},0.669883121917000,-448505
