"","X","Unique.ID","Lat","Long","Date","Site.name","Description","Sex","L.HW.mm","L.FW.mm","Total.Length.mm","Metathoracic.Femur.Length.mm","...12"
"1",1,"F-116",30.583429,-84.880913,"26061","FL: Gadsden Co.","Crooked Creek at Hwy S-270","male",28.45,27.94,44.35,7.12,NA
"2",2,"F-17",30.583429,-84.880913,"26405","FL: Gadsden Co.","Crooked Creek; Hwy 12","male",26.07,27.38,43.22,8.63,NA
"3",3,"F-18",30.583429,-84.880913,"26405","FL: Gadsden Co.","Crooked Creek; Hwy 12","male",25.02,27.13,43.32,8.24,NA
"4",4,"F-05",30.48617,-87.246015,"26726","FL: Escambia Co.","Pensacola","male",24,24.7,40.15,6.57,NA
"5",5,"F-102",30.790854,-86.792668,"26743","FL: Santa Rosa Co.","Middle Creek near Holt Fish Hatchery; (nymph collected 3-15-73)","male",23.37,24.64,39.86,6.69,NA
"6",6,"F-22",30.786565,-86.797669,"26746","FL: Santa Rosa Co.","Blackwater River SF: Lighter Knot Creek","male",22.43,24.71,39.07,6.33,NA
"7",7,"F-23",30.790854,-86.792668,"26761","FL: Santa Rosa Co.","Blackwater River SF: Middle Creek","male",22.03,24.67,39.19,7.52,NA
"8",8,"F-69",30.790854,-86.792668,"26766","FL: Santa Rosa Co.","Middle Creek: Blackwater River SF; (nymph collected 3/16/73)","female",25.04,27.14,40.13,7.02,NA
"9",9,"F-70",30.790854,-86.792668,"26766","FL: Santa Rosa Co.","Middle Creek: Blackwater River SF; (nymph collected 3/16/73)","female",23.2,25.82,40.52,7.91,NA
"10",10,"F-21",30.790854,-86.792668,"26769","FL: Santa Rosa Co.","Blackwater River SF: Middle Creek","male",23.86,25.69,37.53,8.66,NA
"11",11,"F-06",30.680869,-87.131868,"26800","FL: Santa Rosa Co.","Pond Creek at S-191 NW of Milton","male",23.81,25.49,41.85,6.88,NA
"14",14,"F-103",30.680869,-87.131868,"26800","FL: Santa Rosa Co.","Pond Creek at S-191 NW of Milton","male",24.8,26.05,40.28,6.38,NA
"15",15,"F-104",30.680869,-87.131868,"26800","FL: Santa Rosa Co.","Pond Creek at S-191 NW of Milton","male",23.15,24.83,40.32,6.53,NA
"17",17,"F-106",30.680869,-87.131868,"26800","FL: Santa Rosa Co.","Pond Creek at S-191 NW of Milton","male",24.18,25.17,41.1,6.59,NA
"19",19,"F-108",30.680869,-87.131868,"26800","FL: Santa Rosa Co.","Pond Creek at S-191 NW of Milton","male",24.57,25.92,41.05,6.66,NA
"20",20,"F-109",30.680869,-87.131868,"26800","FL: Santa Rosa Co.","Pond Creek at S-191 NW of Milton","male",24.78,26.76,40.91,6.84,NA
"21",21,"F-110",30.680869,-87.131868,"26800","FL: Santa Rosa Co.","Pond Creek at S-191 NW of Milton","male",22.41,24.12,40.45,6.29,NA
"22",22,"F-111",30.680869,-87.131868,"26800","FL: Santa Rosa Co.","Pond Creek at S-191 NW of Milton","male",23.21,24.81,40.01,6.53,NA
"26",26,"F-119",30.680869,-87.131868,"26800","FL: Santa Rosa Co.","Pond Creek at S-191 NW of Milton","male",23.67,24.32,41.25,8.07,NA
"27",27,"F-120",30.680869,-87.131868,"26800","FL: Santa Rosa Co.","Pond Creek at S-191 NW of Milton","male",23.93,25.06,40.73,8.29,NA
"28",28,"F-121",30.680869,-87.131868,"26800","FL: Santa Rosa Co.","Pond Creek at S-191 NW of Milton","male",22.61,24.83,39.56,7.69,NA
"30",30,"F-28",30.680869,-87.131868,"26800","FL: Santa Rosa Co.","Pond Cr. At S-191 NW of Milton","female",25.73,27.79,42.14,7.08,NA
"31",31,"F-29",30.680869,-87.131868,"26800","FL: Santa Rosa Co.","Pond Cr. At S-191 NW of Milton","female",25.68,27.53,42.67,7.25,NA
"33",33,"F-61",30.680869,-87.131868,"26800","FL: Santa Rosa Co.","Pond Creek at S-191 NW of Milton","male",22.56,23.96,40.87,6.53,NA
"36",36,"F-64",30.680869,-87.131868,"26800","FL: Santa Rosa Co.","Pond Creek at S-191 NW of Milton","male",24.27,25.6,40.28,6.19,NA
"37",37,"F-65",30.680869,-87.131868,"26800","FL: Santa Rosa Co.","Pond Creek at S-191 NW of Milton","male",22.94,24.15,40.26,6.27,NA
"38",38,"F-67",30.680869,-87.131868,"26800","FL: Santa Rosa Co.","Pond Creek at S-191 NW of Milton","male",23.63,24.98,40.34,6.5,NA
"39",39,"F-95",30.680869,-87.131868,"26800","FL: Santa Rosa Co.","Pond Creek at S-191 NW of Milton","female",25.91,27.28,41.98,6.84,NA
"40",40,"F-96",30.680869,-87.131868,"26800","FL: Santa Rosa Co.","Pond Creek at S-191 NW of Milton","male",24.16,26.4,41.56,7.35,NA
"43",43,"F-09",30.426305,-85.295138,"26810","FL: Calhoun Co.","Juniper Creek at Hwy 20","male",21.35,22.75,37.38,7.31,NA
"44",44,"F-10",30.426305,-85.295138,"26810","FL: Calhoun Co.","Juniper Creek at Hwy 20","male",21.93,23.54,37.12,7.19,NA
"45",45,"F-11",30.426305,-85.295138,"26810","FL: Calhoun Co.","Juniper Creek at Hwy 20","female",23.1,24.28,38.51,7.13,NA
"46",46,"F-12",30.426305,-85.295138,"26810","FL: Calhoun Co.","Juniper Creek at Hwy 20","male",21.74,23.22,36.1,7.08,NA
